what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.login,2.3.3.r36v201107211953,"com.google.gdt.eclipse.login",1341015289100
started,bundle,com.google.gdt.eclipse.managedapis,2.3.3.r36v201107211953,"com.google.gdt.eclipse.managedapis",1341015289101
started,bundle,com.google.gdt.eclipse.platform.e36,2.3.3.r36v201107211953,"com.google.gdt.eclipse.platform.e36",1341015289102
started,bundle,com.google.gdt.eclipse.platform.shared,2.3.3.r36v201107211953,"com.google.gdt.eclipse.platform.shared",1341015289103
started,bundle,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core",1341015289110
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1341015289111
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1341015289112
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1341015289112
started,bundle,org.eclipse.wb.core,1.1.0.r36x201107161214,"org.eclipse.wb.core",1341015289145
started,bundle,org.eclipse.wb.core.lib,1.1.0.r36x201107161214,"org.eclipse.wb.core.lib",1341015289168
os,sysinfo,,,"win32",1341015289172
arch,sysinfo,,,"x86",1341015289172
ws,sysinfo,,,"win32",1341015289172
locale,sysinfo,,,"en_CA",1341015289172
processors,sysinfo,,,"2",1341015289172
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341015289172
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1341015289172
java.specification.name,sysinfo,,,"Java Platform API Specification",1341015289172
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341015289172
java.specification.version,sysinfo,,,"1.6",1341015289172
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341015289172
